Simulation Time,Iteration,Iteration Delay,Total Delay,vehicles crossed In this iteration,Iteration Average Delay,Overall Average Delay
9200,92,4228.1,157242.0,92,45.957608695652176,35.510840108401084
9300,93,4566.6,161808.6,96,47.56875,35.76671087533156
9400,94,4367.4,166176.0,90,48.526666666666664,36.01560468140442
9500,95,4696.3,170872.3,90,52.181111111111115,36.32489370748299
9600,96,5375.6,176247.9,98,54.85306122448979,36.70301957517701
9700,97,5082.7,181330.6,97,52.398969072164945,37.013798734435596
9800,98,5038.4,186369.0,97,51.942268041237114,37.30364291433146
9900,99,5129.3,191498.3,91,56.36593406593406,37.644643208177705
10000,100,5680.4,197178.7,98,57.963265306122445,38.02867888138862
10100,101,5628.7,202807.4,98,57.43571428571429,38.388680673859554
10200,102,5749.5,208556.9,100,57.495000000000005,38.74361879992569
10300,103,5675.3,214232.2,104,54.57019230769231,39.04359394933479
10400,104,5157.4,219389.6,101,51.06336633663366,39.26084466714388
10500,105,4946.5,224336.1,93,53.18817204301075,39.48883999295899
10600,106,5598.4,229934.5,100,55.984,39.77417401833593
10700,107,5504.1,235438.6,100,55.041,40.03376976704642
10800,108,5607.1,241045.7,99,56.63737373737374,40.308645484949835
10900,109,5620.8,246666.5,102,55.10588235294117,40.55680697139099
11000,110,5323.3,251989.8,97,54.879381443298975,40.781647515779255
11100,111,5689.2,257679.0,99,57.46666666666666,41.044759477540616
11200,112,5686.7,263365.7,97,58.625773195876285,41.312266666666666
11300,113,5746.2,269111.9,99,58.04242424242424,41.568103181958605
11400,114,5876.7,274988.6,102,57.614705882352936,41.817001216545016
11500,115,5507.9,280496.5,99,55.63535353535353,42.02194756554307
11600,116,5461.7,285958.2,100,54.617,42.20785239852398
11700,117,5322.7,291280.9,92,57.8554347826087,42.417489442260084
11800,118,6266.5,297547.4,98,63.94387755102041,42.72037329504666
11900,119,6319.7,303867.1,99,63.83535353535353,43.01629388448471
12000,120,7237.9,311105.0,115,62.93826086956521,43.3354227608302
12100,121,5675.0,316780.0,105,54.04761904761905,43.4898407468424
12200,122,5176.8,321956.8,101,51.25544554455446,43.596046039268785
12300,123,5144.3,327101.1,98,52.49285714285715,43.712561806762
12400,124,5123.4,332224.5,95,53.93052631578947,43.840657165479016
12500,125,5285.0,337509.5,102,51.81372549019608,43.94654947916667
12600,126,4819.8,342329.3,97,49.68865979381444,44.01816895975312
12700,127,4878.2,347207.5,89,54.811235955056176,44.14028731248411
12800,128,5409.8,352617.3,95,56.945263157894736,44.29309132018591
12900,129,5670.5,358287.8,101,56.14356435643564,44.44155296452493
13000,130,4783.1,363070.9,94,50.88404255319149,44.515804315841095
13100,131,4683.5,367754.4,90,52.03888888888889,44.59791414018918
13200,132,4766.6,372521.0,93,51.25376344086021,44.6721429427989
13300,133,4486.7,377007.7,92,48.768478260869564,44.71684260467323
13400,134,4279.1,381286.8,94,45.522340425531915,44.72572434017595
13500,135,4024.7,385311.5,90,44.718888888888884,44.725652930934416
13600,136,4031.1,389342.6,91,44.2978021978022,44.72118079485413
13700,137,3789.6,393132.2,84,45.114285714285714,44.724937428896475
13800,138,4281.0,397413.2,91,47.043956043956044,44.748699470780316
13900,139,4076.6,401489.8,90,45.29555555555556,44.75418570950841
14000,140,3679.3,405169.1,84,43.80119047619048,44.74534511319713
14100,141,3898.4,409067.5,86,45.330232558139535,44.750847828465155
14200,142,3765.6,412833.1,84,44.82857142857143,44.751555555555555
14300,143,3428.2,416261.3,86,39.86279069767442,44.70640103103856
14400,144,2962.2,419223.5,82,36.12439024390244,44.63148089002449
14500,145,2701.2,421924.7,79,34.19240506329114,44.54441511824324
14600,146,2431.7,424356.4,76,31.996052631578948,44.444532886468366
14700,147,2536.7,426893.1,77,32.944155844155844,44.35252987012987
14800,148,2359.4,429252.5,70,33.705714285714286,44.27565755544095
14900,149,2627.9,431880.4,72,36.49861111111111,44.218327019555645
15000,150,2782.3,434662.7,71,39.18732394366197,44.18201870298841
15100,151,2891.2,437553.9,75,38.54933333333334,44.139402804398266
15200,152,2549.5,440103.4,71,35.90845070422535,44.080869391025644
15300,153,2594.1,442697.5,73,35.535616438356165,44.018842597195984
15400,154,2286.7,444984.2,67,34.12985074626866,43.953397866455944
15500,155,2328.1,447312.3,67,34.74776119402985,43.892876067118046
15600,156,2509.2,449821.5,69,36.36521739130435,43.842251461988305
15700,157,2281.4,452102.9,64,35.646875,43.79144711352189
15800,158,2208.6,454311.5,65,33.97846153846154,43.73005101549716
15900,159,2185.8,456497.3,65,33.62769230769231,43.66723742108284
16000,160,1904.6,458401.9,58,32.83793103448276,43.607486681887366
16100,161,1945.4,460347.3,59,32.9728813559322,43.54813168101409
16200,162,1998.2,462345.5,60,33.303333333333335,43.49031135358856
16300,163,1773.2,464118.7,54,32.837037037037035,43.43647168928404
16400,164,1814.6,465933.3,55,32.99272727272727,43.38298882681564
16500,165,1832.3,467765.6,56,32.71964285714286,43.327676917376806
16600,166,1674.4,469440.0,49,34.17142857142857,43.28630705394191
16700,167,1810.8,471250.8,54,33.53333333333333,43.23798513625103
16800,168,1734.9,472985.7,53,32.73396226415095,43.187153031409785
16900,169,1614.4,474600.1,48,33.63333333333333,43.14546363636364
17000,170,1742.6,476342.7,52,33.511538461538464,43.10013572204126
17100,171,1725.4,478068.1,51,33.831372549019605,43.057561019544266
17200,172,1611.0,479679.1,48,33.5625,43.01668908618061
17300,173,1614.0,481293.1,51,31.647058823529413,42.9649259060882
17400,174,1495.2,482788.3,49,30.514285714285716,42.91070127099813
17500,175,1371.1,484159.4,44,31.16136363636364,42.86493138556884
17600,176,1506.0,485665.4,47,32.04255319148936,42.82008464115676
17700,177,1537.8,487203.2,47,32.719148936170214,42.77840021072965
17800,178,1518.3,488721.5,42,36.15,42.75404601522176
17900,179,1592.0,490313.5,47,33.87234042553192,42.71767729569611
18000,180,1545.5,491859.0,47,32.88297872340426,42.6775704989154
18100,181,1337.0,493196.0,41,32.609756097560975,42.64188137644821
18200,182,1498.7,494694.7,44,34.06136363636364,42.609362618432385
18300,183,1590.7,496285.4,47,33.84468085106383,42.57402419147293
18400,184,1287.4,497572.8,40,32.185,42.53849705052578
18500,185,1498.3,499071.1,45,33.29555555555556,42.503074433656955
18600,186,1466.3,500537.4,45,32.58444444444444,42.46520743191652
18700,187,1273.4,501810.8,40,31.835,42.42925509427581
18800,188,1412.4,503223.2,43,32.84651162790698,42.39454085930918
18900,189,1467.0,504690.2,44,33.34090909090909,42.36110458284371
19000,190,1395.9,506086.1,40,34.8975,42.336130165634934
19100,191,1407.6,507493.7,43,32.73488372093023,42.30171709594065
19200,192,1461.5,508955.2,45,32.477777777777774,42.26500581298787
19300,193,1195.5,510150.7,38,31.460526315789473,42.23101821192053
19400,194,1431.2,511581.9,43,33.283720930232555,42.19928235585251
19500,195,1435.4,513017.3,44,32.622727272727275,42.164650283553875
19600,196,1293.8,514311.1,39,33.174358974358974,42.135924954940194
19700,197,1253.0,515564.1,40,31.325,42.10061244487996
19800,198,1353.1,516917.2,42,32.21666666666667,42.066829427083334
19900,199,1272.4,518189.6,37,34.38918918918919,42.04378093306288
20000,200,1333.8,519523.4,40,33.345,42.015640921957136
20100,201,1431.1,520954.5,42,34.07380952380952,41.988756347223344
20200,202,1287.3,522241.8,38,33.87631578947368,41.963985536359985
20300,203,1294.7,523536.5,40,32.3675,41.93323988786544
20400,204,1343.8,524880.3,41,32.77560975609756,41.9032652083666
20500,205,1136.8,526017.1,35,32.480000000000004,41.877008199984076
20600,206,1395.3,527412.4,41,34.03170731707317,41.8514838914458
20700,207,1327.4,528739.8,40,33.185,41.82406264831514
20800,208,1231.6,529971.4,37,33.28648648648648,41.7991481978074
20900,209,1245.9,531217.3,38,32.786842105263155,41.77221829047731
21000,210,1320.7,532538.0,40,33.0175,41.7447675785843
21100,211,1074.7,533612.7,34,31.60882352941176,41.71782503322649
21200,212,1275.7,534888.4,39,32.710256410256406,41.690444271239286
21300,213,1246.2,536134.6,39,31.953846153846154,41.66093713575258
21400,214,1179.9,537314.5,33,35.75454545454546,41.645830103859865
21500,215,1310.8,538625.3,38,34.49473684210527,41.62482998454405
21600,216,1301.4,539926.7,38,34.24736842105263,41.603228540607184
21700,217,1149.7,541076.4,34,33.81470588235294,41.58287734399016
21800,218,1131.7,542208.1,36,31.43611111111111,41.55488197424893
21900,219,1196.3,543404.4,37,32.332432432432434,41.52880397401605
22000,220,1106.1,544510.5,33,33.518181818181816,41.50865223357219
22100,221,1300.3,545810.8,39,33.34102564102564,41.484441742038456
22200,222,1242.2,547053.0,38,32.689473684210526,41.45911330049261
22300,223,1180.1,548233.1,34,34.70882352941176,41.44176430569204
22400,224,1223.3,549456.4,38,32.1921052631579,41.415270973091125
22500,225,1189.8,550646.2,37,32.15675675675676,41.38952194828623
22600,226,1203.3,551849.5,34,35.391176470588235,41.37423151896836
22700,227,1297.6,553147.1,39,33.271794871794874,41.35060925469089
22800,228,1272.8,554419.9,38,33.49473684210527,41.32835631755498
22900,229,1263.3,555683.2,36,35.09166666666667,41.31166456025574
23000,230,1334.6,557017.8,40,33.364999999999995,41.28810317989771
23100,231,1370.1,558387.9,41,33.41707317073171,41.26425509902454
23200,232,1167.2,559555.1,36,32.422222222222224,41.24079451650944
23300,233,1393.7,560948.8,41,33.99268292682927,41.2189580424719
23400,234,1391.9,562340.7,40,34.7975,41.20013920433731
23500,235,1483.8,563824.5,40,37.095,41.18814376506684
23600,236,1375.1,565199.6,42,32.740476190476194,41.16230427499818
23700,237,1442.0,566641.6,43,33.53488372093023,41.13849281254538
23800,238,1342.4,567984.0,40,33.56,41.11654842912987
23900,239,1532.1,569516.1,46,33.30652173913044,41.09062770562771
24000,240,1500.0,571016.1,45,33.33333333333333,41.06552319309601
24100,241,1390.6,572406.7,42,33.10952380952381,41.04156449415645
24200,242,1546.8,573953.5,48,32.225,41.01132547338335
24300,243,1416.8,575370.3,44,32.2,40.98370966593062
24400,244,1423.4,576793.7,43,33.10232558139535,40.959643516545945
24500,245,1482.5,578276.2,45,32.94444444444444,40.93411198414384
24600,246,1535.4,579811.6,46,33.37826086956522,40.909588654483876
24700,247,1367.4,581179.0,43,31.8,40.88203432751829
24800,248,1539.3,582718.3,47,32.751063829787235,40.85524083292435
24900,249,1600.5,584318.8,48,33.34375,40.83004681713367
25000,250,1401.9,585720.7,45,31.153333333333336,40.79971440512678
25100,251,1520.7,587241.4,48,31.68125,40.76932796445432
25200,252,1619.6,588861.0,49,33.053061224489795,40.74316750847575
25300,253,1472.5,590333.5,45,32.72222222222222,40.71827148572217
25400,254,1689.5,592023.0,51,33.127450980392155,40.6916626572273
25500,255,1595.1,593618.1,50,31.901999999999997,40.66155901089116
25600,256,1468.9,595087.0,46,31.932608695652174,40.634141345169
25700,257,1719.7,596806.7,51,33.719607843137254,40.610145617855196
25800,258,1783.9,598590.6,53,33.658490566037734,40.585165095938706
25900,259,1558.0,600148.6,49,31.79591836734694,40.556061629949994
26000,260,1675.0,601823.6,53,31.60377358490566,40.52411285435324
26100,261,1661.0,603484.6,52,31.94230769230769,40.49416895926994
26200,262,1567.2,605051.8,49,31.983673469387753,40.466278758694486
26300,263,1846.0,606897.8,55,33.56363636363636,40.44098087559139
26400,264,1879.9,608777.7,55,34.18,40.41811844376577
26500,265,1774.8,610552.5,53,33.48679245283019,40.39381409196163
26600,266,2044.2,612596.7,61,33.511475409836066,40.366150500790724
26700,267,1878.4,614475.1,59,31.83728813559322,40.33312110272399
26800,268,1739.3,616214.4,54,32.20925925925926,40.3044280201452
26900,269,2197.6,618412.0,65,33.80923076923077,40.27693109287482
27000,270,1980.7,620392.7,62,31.946774193548386,40.24342890503373
27100,271,1899.6,622292.3,59,32.19661016949153,40.21274959612278
27200,272,2146.5,624438.8,66,32.52272727272727,40.18009137121163
27300,273,2095.9,626534.7,64,32.7484375,40.149612303748796
27400,274,2005.3,628540.0,61,32.87377049180328,40.1212817566705
27500,275,2326.6,630866.6,68,34.21470588235294,40.09575441718572
27600,276,2361.0,633227.6,68,34.720588235294116,40.072623718516645
27700,277,2260.0,635487.6,65,34.76923076923077,40.05089809037625
27800,278,2660.9,638148.5,73,36.45068493150685,40.03441028858218
27900,279,2618.9,640767.4,75,34.91866666666667,40.01045270059319
28000,280,2328.3,643095.7,70,33.26142857142857,39.981081753186196
28100,281,2563.7,645659.4,76,33.732894736842105,39.95169853350659
28200,282,2596.2,648255.6,74,35.08378378378378,39.92951031721589
28300,283,2663.5,650919.1,76,35.046052631578945,39.9067561768132
28400,284,2832.3,653751.4,80,35.40375,39.88477823195656
28500,285,2944.2,656695.6,75,39.256,39.88191424754039
28600,286,3262.8,659958.4,84,38.84285714285714,39.87664048338369
28700,287,3113.6,663072.0,80,38.92,39.87203848466627
28800,288,3379.7,666451.7,84,40.23452380952381,39.87386023692713
28900,289,3231.3,669683.0,84,38.46785714285714,39.866829384450526
29000,290,3298.8,672981.8,83,39.74457831325301,39.86622830401043
29100,291,3612.8,676594.6,88,41.054545454545455,39.87239083033767
29200,292,3348.3,679942.9,81,41.337037037037035,39.87934897360704
29300,293,3901.2,683844.1,90,43.346666666666664,39.897555425904315
29400,294,3919.8,687763.9,93,42.148387096774194,39.90970231532525
29500,295,3710.2,691474.1,88,42.16136363636364,39.92114196639917
29600,296,4034.3,695508.4,93,43.37956989247312,39.939611806592396
29700,297,4115.0,699623.4,91,45.21978021978022,39.967060839760066
29800,298,4299.2,703922.6,88,48.85454545454546,40.0115159438413
29900,299,5038.5,708961.1,96,52.484375,40.07920741703884
30000,300,5438.8,714399.9,102,53.321568627450986,40.15512899780788
30100,301,5060.9,719460.8,98,51.64183673469388,40.218055788473364
30200,302,5178.4,724639.2,96,53.94166666666666,40.291309424520435
30300,303,5836.2,730475.4,101,57.78415841584158,40.38899701426517
30400,304,5555.8,736031.2,93,59.739784946236554,40.487991638704
30500,305,6613.7,742644.9,103,64.21067961165048,40.6216442402363
30600,306,6395.3,749040.2,94,68.03510638297873,40.76187418371789
30700,307,7555.7,756595.9,103,73.35631067961165,40.94355214026733
30800,308,7785.2,764381.1,105,74.1447619047619,41.13113969005596
30900,309,7753.8,772134.9,100,77.538,41.32599550417469
31000,310,8500.5,780635.4,102,83.33823529411765,41.55410412008943
31100,311,8628.6,789264.0,97,88.95463917525773,41.79759572101891
31200,312,9970.0,799234.0,103,96.79611650485437,42.09596544822501
31300,313,9900.2,809134.2,100,99.002,42.39412134548884
31400,314,10441.8,819576.0,102,102.37058823529412,42.71294559099437
31500,315,11615.9,831191.9,105,110.62761904761905,43.082563624112375
31600,316,10916.8,842108.7,99,110.27070707070706,43.4255724009901
31700,317,12958.1,855066.8,105,123.4104761904762,43.85632661435093
31800,318,13439.5,868506.3,110,122.17727272727272,44.295726016218694
31900,319,12704.7,881211.0,99,128.330303030303,44.71790317669745
32000,320,14252.9,895463.9,105,135.74190476190478,45.200338195951744
32100,321,14822.2,910286.1,105,141.16380952380953,45.70627133962643
32200,322,15093.7,925379.8,103,146.54077669902912,46.22507617763125
32300,323,15543.4,940923.2,105,148.03238095238095,46.75627111906182
32400,324,14633.5,955556.7,93,157.3494623655914,47.26500964534797
32500,325,18042.8,973599.5,105,171.83619047619047,47.908645802578484
32600,326,17773.1,991372.6,104,170.8951923076923,48.53483795163028
32700,327,17891.8,1009264.4,104,172.03653846153844,49.160467608377985
32800,328,18042.7,1027307.1,102,176.88921568627453,49.79193001163242
32900,329,19259.5,1046566.6,101,190.6881188118812,50.47830029421695
33000,330,19596.2,1066162.8,102,192.11960784313726,51.17172066234701
33100,331,19430.6,1085593.4,101,192.38217821782177,51.8529518532671
33200,332,20621.5,1106214.9,103,200.20873786407768,52.57925281619849
33300,333,20447.3,1126662.2,95,215.23473684210526,53.31040976625343
33400,334,21593.9,1148256.1,98,220.34591836734694,54.081391296156745
33500,335,24028.1,1172284.2,108,222.48240740740738,54.93365510777882
33600,336,22118.0,1194402.2,99,223.41414141414143,55.71165632725407
33700,337,24410.4,1218812.6,109,223.94862385321102,56.56267867087432
33800,338,22851.7,1241664.3,97,235.58453608247424,57.36494802494802
33900,339,22678.2,1264342.5,96,236.23125,58.154753691182556
34000,340,24617.4,1288959.9,102,241.3470588235294,59.01020464221948
34100,341,25058.1,1314018.0,101,248.1,59.88051403572731
34200,342,24945.5,1338963.5,103,242.1893203883495,60.73223114255908
34300,343,23047.6,1362011.1,101,228.1940594059406,61.4958957919451
34400,344,24186.7,1386197.8,103,234.8223300970874,62.29822479888544
34500,345,26117.0,1412314.8,109,239.60550458715596,63.16255813953488
34600,346,23657.7,1435972.5,98,241.40510204081633,63.94035532994924
34700,347,22574.0,1458546.5,94,240.14893617021275,64.67481819794253
34800,348,23752.4,1482298.9,102,232.86666666666665,65.43210470557077
34900,349,21446.5,1503745.4,94,228.15425531914894,66.1045102866186
35000,350,22411.1,1526156.5,99,226.3747474747475,66.79898892633607
35100,351,20606.1,1546762.6,98,210.26632653061225,67.41174983656569
35200,352,21884.5,1568647.1,100,218.84499999999997,68.06886960295074
35300,353,19536.7,1588183.8,102,191.53627450980392,68.61294336199076
35400,354,17589.0,1605772.8,93,189.1290322580645,69.09521514629948
35500,355,16770.5,1622543.3,95,176.53157894736842,69.53260338547247
35600,356,17349.6,1639892.9,102,170.09411764705882,69.97025643213722
35700,357,15088.8,1654981.7,96,157.175,70.32599753537586
35800,358,12526.3,1667508.0,86,145.65465116279069,70.60027943604726
35900,359,11476.9,1678984.9,91,126.11978021978022,70.8133656684943
36000,360,10761.5,1689746.4,92,116.97282608695653,70.9917822031762
36100,361,8371.6,1698118.0,82,102.09268292682927,71.09855970524201
36200,362,7813.2,1705931.2,89,87.78876404494382,71.16052225420265
36300,363,5533.1,1711464.3,89,62.16966292134831,71.12726706009475
36400,364,3447.6,1714911.9,77,44.774025974025975,71.04320394382535
36500,365,2517.3,1717429.2,72,34.9625,70.93590516707282
36600,366,2189.1,1719618.3,67,32.67313432835821,70.83031139303073
36700,367,2256.0,1721874.3,63,35.80952380952381,70.73966969311039
36800,368,2211.4,1724085.7,66,33.50606060606061,70.63898471749908
36900,369,2169.9,1726255.6,64,33.9046875,70.54291201830738
37000,370,2097.3,1728352.9,60,34.955,70.45586808527985
37100,371,2084.7,1730437.6,62,33.6241935483871,70.36301386573415
37200,372,2034.6,1732472.2,61,33.35409836065574,70.27144479597631
37300,373,1870.4,1734342.6,55,34.00727272727273,70.19072402768222
37400,374,1881.5,1736224.1,56,33.598214285714285,70.10797900262467
37500,375,1940.0,1738164.1,55,35.27272727272727,70.03078565672845
37600,376,1917.7,1740081.8,54,35.51296296296296,69.9558494813862
37700,377,1678.5,1741760.3,52,32.27884615384615,69.87724865602182
37800,378,1701.9,1743462.2,52,32.728846153846156,69.79991192249179
37900,379,1546.3,1745008.5,46,33.61521739130435,69.73339593989769
38000,380,1661.6,1746670.1,49,33.91020408163265,69.66338691022216
38100,381,1682.6,1748352.7,50,33.652,69.59171675357243
38200,382,1509.3,1749862.0,42,35.93571428571428,69.53554540035763
38300,383,1569.7,1751431.7,47,33.397872340425536,69.46817785181659
38400,384,1508.5,1752940.2,47,32.09574468085106,69.3986381091888
38500,385,1243.4,1754183.6,39,31.882051282051282,69.34080164439877
38600,386,1354.7,1755538.3,41,33.04146341463415,69.28206716918584
38700,387,1408.3,1756946.6,43,32.75116279069768,69.22017965487353
38800,388,1191.7,1758138.3,35,34.04857142857143,69.1717472557737
38900,389,1288.7,1759427.0,38,33.91315789473684,69.11911215871145
39000,390,1353.5,1760780.5,40,33.8375,69.06375759952932
39100,391,1060.9,1761841.4,32,33.153125,69.01874094096448
39200,392,1189.7,1763031.1,35,33.99142857142857,68.97078084656913
39300,393,1233.6,1764264.7,35,35.245714285714286,68.92466695315858
39400,394,1097.7,1765362.4,31,35.40967741935484,68.88412673638209
39500,395,1141.8,1766504.2,34,33.58235294117647,68.83735484373781
39600,396,1092.1,1767596.3,34,32.120588235294115,68.78877257160647
39700,397,861.9,1768458.2,27,31.922222222222224,68.75007580764296
39800,398,1003.0,1769461.2,32,31.34375,68.70359930110658
39900,399,906.1,1770367.3,29,31.244827586206895,68.66146835246664
40000,400,878.1,1771245.4,27,32.522222222222226,68.62366432916198
40100,401,895.4,1772140.8,29,30.875862068965517,68.58130030959752
40200,402,894.0,1773034.8,28,31.928571428571427,68.54162672027215
40300,403,799.7,1773834.5,24,33.32083333333333,68.5089796076008
40400,404,884.6,1774719.1,28,31.592857142857145,68.46910108024692
40500,405,809.8,1775528.9,26,31.146153846153844,68.43170045479073
40600,406,736.1,1776265.0,22,33.459090909090904,68.40207178065312
40700,407,884.4,1777149.4,27,32.75555555555555,68.365047124447
40800,408,778.2,1777927.6,26,29.930769230769233,68.32664386457093
40900,409,603.6,1778531.2,20,30.18,68.2973464920702
41000,410,850.4,1779381.6,25,34.016000000000005,68.26446712192129
41100,411,844.2,1780225.8,26,32.46923076923077,68.2287980990342
41200,412,601.0,1780826.8,21,28.61904761904762,68.19694405085589
41300,413,699.6,1781526.4,22,31.8,68.16630572029845
41400,414,887.6,1782414.0,26,34.138461538461534,68.1324872902412
41500,415,640.6,1783054.6,20,32.03,68.10490813949046
41600,416,680.9,1783735.5,22,30.95,68.07371293363356
41700,417,754.6,1784490.1,23,32.80869565217391,68.04278578509876
41800,418,657.3,1785147.4,19,34.59473684210526,68.01857115641074
41900,419,680.7,1785828.1,21,32.41428571428572,67.99010507880911
42000,420,764.4,1786592.5,23,33.23478260869565,67.95969797253603
42100,421,497.3,1787089.8,15,33.153333333333336,67.93984945255474
42200,422,684.9,1787774.7,20,34.245,67.91424935420149
42300,423,573.1,1788347.8,18,31.838888888888892,67.8895983600334
42400,424,504.1,1788851.9,13,38.776923076923076,67.87523809523809
42500,425,553.1,1789405.0,17,32.53529411764706,67.85245715152435
42600,426,473.1,1789878.1,15,31.54,67.83181490885663
42700,427,409.0,1790287.1,11,37.18181818181818,67.81904310932647
